Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
266,51630,4,146.62860,-.76510,0.0647,5.69560,6.05870,-0.1255,-.28880,10.60450,8.86401,2.79570,1.70260,-.60560,133.34019
266,51630,25,146.95610,-.34230,0.1347,6.33470,6.45400,-0.0917,-.10770,11.18740,8.79144,2.87210,1.80100,-1.51240,226.981
266,51630,36,147.32950,.02890,0.0481,5.87040,7.03790,-0.224,-.14870,10.55280,8.70088,2.52210,1.42310,2.93620,104.6077
266,51630,42,146.56560,-1.08470,0.0976,6.86370,8.02600,0.5541,.11400,10.77460,9.04263,2.38550,1.57280,1.40120,162.80859
266,51630,51,146.51280,-.84580,0.0649,6.37890,7.22250,-0.4225,-.30580,10.88840,8.77733,2.40980,1.37690,2.03540,130.1812
266,51630,54,146.44830,-.71340,0.1147,7.15590,8.21540,-0.0338,-.38000,10.51780,8.65699,2.47920,1.16400,6.61360,106.2679
266,51630,62,146.90120,-.41320,0.0565,5.93400,6.26580,0.0706,-.35220,10.29620,8.99435,2.78860,1.62760,.31670,130.739
266,51630,70,146.88330,-.49470,0.0838,6.16570,7.38030,-0.3784,-.27660,11.21940,8.81929,2.34870,1.48870,2.25290,198.3139
266,51630,71,146.85970,-.09890,0.1254,6.69140,7.80330,0.0202,-.17560,10.63480,8.70101,2.32760,1.30610,2.49080,97.2768
266,51630,81,146.11830,-.86810,0.1277,6.27390,7.44360,-0.3321,-.27680,10.54990,8.58012,2.52970,1.33470,4.00530,117.4146
266,51630,83,146.09370,-.79310,0.0676,5.78510,5.78510,0.2949,.20150,10.87020,8.88504,2.87510,1.89520,-1.14320,173.8163
266,51630,104,146.74170,-.52470,0.1315,6.83700,7.87960,0.2522,-.12670,10.63570,8.39580,1.95690,1.30860,1.61350,79.035
266,51630,106,146.62970,-.46570,0.0893,6.22180,6.99460,-0.001,-.10310,10.73830,8.76718,2.45880,1.60400,1.39530,121.5644
266,51630,141,146.37379,-.36840,0.0529,6.14740,7.35330,-0.2016,-.26640,10.14910,9.17491,2.18100,1.38140,3.16500,145.2984
266,51630,142,146.38130,-.38650,0.0526,5.20740,6.66790,-0.2063,-.25800,10.46590,8.75306,2.40830,1.58690,1.28320,74.4457
266,51630,144,146.35580,-.14340,0.0308,5.31990,5.31990,0.4988,-.24680,10.12200,9.13977,2.66970,1.86460,-.19930,105.4659
266,51630,147,146.29990,-.12000,0.0307,6.49240,7.40820,0.9279,-.08150,10.52610,8.83304,2.46300,1.72290,.49230,97.2328
266,51630,158,146.32961,-.30620,0.0365,5.88430,6.61490,0.4886,-.30780,9.80780,7.93282,1.88900,1.46320,2.83280,0
266,51630,177,146.16560,-.06420,0.0632,5.99710,6.11430,0.3458,-.17570,10.36250,9.22468,2.84400,1.96840,-2.61400,234.17641
266,51630,180,145.99400,-.13580,0.0631,5.75190,5.75450,0.1545,-.09160,10.56610,9.05844,2.91790,1.81870,-1.29360,134.0425
266,51630,203,145.63390,-1.05060,0.1433,7.05960,8.89830,0.7548,-.06530,11.08820,8.61124,2.94370,1.50820,3.00560,166.37621
266,51630,216,145.75970,-.81390,0.0676,7.41900,7.79690,0.8612,.06690,10.75110,9.01002,2.76220,1.76950,.67640,185.3623
266,51630,223,145.60120,-.00140,0.1459,7.21640,9.40640,0.1071,-.28390,11.07260,8.74906,2.80030,1.26230,6.46590,152.963
