id,name,interval_start,interval_end,plot,mission_info
-2,Mariner 2,1962-08-27 07:20:00,1963-01-01 00:00:00,ss,venus
-3,Mars Orbiter Mission MOM  [Mangalyaan],2013-11-05 09:53:49,2022-11-26 00:01:09,ss,
-5,Planet-C  [VCO Akatsuki],2010-05-21 00:52:06,2026-02-01 00:01:09,ss,venus
-6,Pioneer 6,1996-01-01 00:01:02,1999-12-30 00:01:02,ss,
-8,Wind,2019-10-08 00:01:09,2022-12-27 00:01:09,em,l1
-12,LADEE,2013-09-07 03:52:07,2014-04-18 04:33:07,em,
-18,LCROSS Shepherd  [SSC],2009-06-18 22:17:46,2009-10-09 11:37:06,em,moon
-20,Pioneer 8,1997-07-01 00:01:03,1999-12-30 23:59:03,ss,
-21,SOHO,1995-12-02 00:01:01,2022-12-05 23:51:09,ss,solar
-23,Pioneer 10,1972-03-03 02:04:42,2050-01-01 00:10:00,ess,"jupiter mission, now ess"
-24,Pioneer 11,1973-04-06 02:25:44,2050-01-01 00:10:00,ess,"asteroid belt/saturn mission, now ess"
-25,Lunar Prospector LP,1998-01-07 03:45:00,1998-01-20 00:05:00,em,
-28,JUICE,2023-04-05 12:43:28,2035-10-05 01:59:33,ss,jupiter
-29,Stardust bus  NExT,1999-02-07 21:32:10,2011-03-13 00:00:00,ss,
-30,Deep Space 1  [DS1 DS-1],1998-10-24 18:00,2003-12-31 00:00,ss,
-31,Voyager 1,1977-09-05 13:59:24,2100-01-01 00:00:00,ess,
-32,Voyager 2,1977-08-20 15:32:32,2100-01-01 00:00:00,ess,outer solar system
-33,NEOS,2027-09-13 12:00:00,2040-11-18 00:57:13,em,l1
-37,Hayabusa 2,2014-12-03 06:14:53,2031-06-01 00:00:00,ss,
-39,Ouna,2007-10-12 04:29:38,2022-12-31 23:59:32,em,
-40,Clementine  [DSPSE],1994-02-19 12:58:00,1994-05-03 13:01:00,em,moon mission
-41,Mars Express  [MEX],2003-06-02 19:12:20,2029-01-01 12:01:09,ss,mars
-47,Genesis bus,2001-08-11 16:00:01,2020-01-02 00:00:00,em,
-48,Hubble Space Telescope HST,1990-04-25 02:01:40,2023-02-06 20:21:23,em,
-49,Lucy,2021-10-16 10:33:08,2033-04-02 14:41:30,ss,
-53,Mars Odyssey,2001-04-07 16:25:00,2022-12-05 00:00:00,ss,
-55,Ulysses,1990-10-06 19:05:00,2050-01-01 12:00:00,ss,"solar probe, but got to jupiter"
-61,Juno,2011-08-05 17:19:12,2025-10-21 00:00:00,ss,
-62,EMM  Hope,2020-07-19 23:06:35,2023-02-16 00:02:00,ss,mars
-64,OSIRIS-REx  [ORX],2016-09-08 23:06:08,2023-10-25 00:01:09,ss,
-65,MarCO-A  [Wall-E],2018-05-05 12:40:51,2020-01-01 12:00:00,ss,mars
-66,MarCO-B  [Eva],2018-05-05 12:40:51,2020-01-01 12:00:00,ss,mars
-70,Deep Impact IMPACTOR,2005-01-12 19:23:32,2005-07-04 05:46:38,ss,
-74,Mars Reconnaissance Orbiter  [MRO],2005-08-12 12:41:56,2022-12-05 07:11:00,ss,
-75,OMOTENASHI,2022-11-16 14:00:00,2022-11-21 11:00:00,em,
-77,Galileo,1989-10-19 01:29:33,2003-09-30 12:00:00,ss,jupiter mission
-78,DSCOVR  [Triana],2015-02-11 23:45:07,2022-12-05 00:01:09,em,l1
-79,Spitzer Space Telescope [SST SIRTF ],2003-08-25 06:26:43,2120-01-01 00:05:00,ss,
-82,Cassini,1997-10-15 09:27:11,2017-09-15 11:58:00,ss,saturn
-84,Phoenix,2007-08-04 10:47:06,2009-01-01 00:00:00,em,
-85,LRO,2009-06-18 22:17:06,2024-05-13 00:01:09,em,moon
-86,Chandrayaan-1  CH1 CH-1,2016-07-02 13:00:00,2022-10-01 00:00:00,em,
-92,ACE  Advanced Composition Explorer,2006-07-02 00:01:05,2023-01-31 00:01:09,ss,sun
-93,NEAR,1996-02-19 02:00:00,2010-01-01 00:00:00,ss,
-95,TESS,2018-04-18 23:36:39,2024-04-06 13:01:09,em,
-96,Parker Solar Probe  [SPP PSP],2018-08-12 08:16:23,2025-08-31 10:47:25,ss,sun
-98,New Horizons  [NH New_Horizons],2006-01-19 19:51:18,2025-01-01 12:00:00,ess,
-111,ICE  [ISEE-3],2014-01-01 00:00,2016-01-01 00:00,em,l2
-121,BepiColombo Spacecraft [MPO MMO],2018-10-20 02:13:28,2025-11-02 08:41:41,ss,mercury
-125,ICPS Spacecraft,2022-11-16 10:24:48,2023-01-16 00:01:09,em,
-130,Hayabusa  [Muses-C],2009-01-26 04:20:48,2010-06-13 13:52:17,ss,
-135,DART,2021-11-24 07:17:52,2022-10-17 23:16:01,ss,
-140,Deep Impact Flyby - EPOXI  [EPOXI],2005-01-12 19:23:32,2020-01-10 00:00:00,ss,
-143,ExoMars16 TGO,2016-03-14 08:14:09,2027-05-08 06:31:39,ss,
-144,Solar Orbiter  [Solo],2020-02-10 04:56:58,2030-11-20 05:37:41,ss,sun
-150,Cassini Huygens,2004-12-25 02:01:04,2005-01-14 12:06:58,ss,saturn
-151,Chandra Observatory,1999-08-07 07:31:04,2023-05-02 12:01:09,em,
-152,Chandrayaan-2 ORBITER  CH2 CH-2,2019-07-22 09:30:55,2022-12-01 13:01:09,ss,
-153,Chandrayaan-2 LANDER  CH2 CH-2,2019-07-22 09:30:55,2019-09-06 20:28:00,ss,
-155,Danuri  KPLO,2022-08-04 23:51:09,2023-06-03 22:36:19,em,moon
-159,Europa Clipper,2024-10-10 03:55:45,2034-09-03 05:00:04,ss,jupiter
-163,WISE,2009-12-14 15:01:06,2022-12-28 20:14:04,em,
-164,Lunar Flashlight  LFL,2022-11-30 09:33:41,2023-04-09 02:31:48,em,
-165,WMAP,2001-06-30 21:15:04,2009-04-07 10:16:05,em,
-168,Mars2020  Perserverance,2020-07-30 12:52:43,2026-02-19 00:00:00,ss,mars
-170,James Webb Space Telescope  [JWST],2021-12-25 13:01:09,2024-11-28 00:01:09,em,l2
-176,GRAIL-SS Second Stage,2011-09-12 00:06:06,2061-08-30 00:06:06,em,
-177,GRAIL-A  [Ebb],2011-09-10 13:09:58,2012-12-17 22:29:54,em,moon
-178,Nozomi  [Planet-B],1999-02-08 12:01:04,2003-12-14 00:00:00,ss,
-181,GRAIL-B  [Flow],2011-09-10 13:09:58,2012-12-17 22:30:23,em,moon
-182,NEA Scout,2022-11-16 10:24:48,2022-12-30 12:01:09,em,
-192,THEMIS-B  [ARTEMIS-P1],2007-02-18 00:15:05,2022-12-01 00:01:09,em,
-193,THEMIS-C  [ARTEMIS-P2],2007-02-18 00:15:05,2022-12-01 00:01:09,em,
-198,INTEGRAL,2002-10-17 16:11:58,2022-12-28 12:49:35,em,
-202,MAVEN,2013-11-18 19:21:49,2032-01-01 04:00:00,ss,
-203,Dawn,2007-09-27 12:40:49,2043-10-30 00:00:00,ss,
-226,Rosetta,2004-03-02 09:27:00,2016-10-05 00:01:08,ss,
-227,Kepler,2009-03-07 04:56:42,2201-02-20 00:00:00,ss,
-234,STEREO-A  [AHEAD],2006-10-26 00:01:05,2031-08-31 00:01:09,ss,
-235,STEREO-B  [BEHIND],2006-10-26 01:01:05,2030-07-29 00:01:08,ss,
-236,MESSENGER,2004-08-03 07:14:39,2015-05-01 18:49:57,ss,mercury
-248,Venus Express  [VEX],2005-11-09 05:05:01,2014-12-31 23:40:01,ss,
-344,Galileo Probe,1995-07-13 05:31:02,1995-12-07 22:07:00,ss,jupiter
-486,Herschel Space Observatory,2009-05-14 13:39:04,2050-01-01 00:01:07,em,l2
-489,Planck Space Observatory,2009-05-14 13:41:35,2050-01-01 00:01:07,em,l2
